"Name","Guid","SharedSoulGuid","Position"
"utokNaNebakov_valley_deadAnimchar_5","be6f78aa-896a-4eaf-8f5a-215e0175d681","2730c2c4-194e-44ef-a29d-73fb280ec14b","0,0,0"
"animal_sheep_ewe","f0b9e3da-dbb9-4c8a-84a1-703e64aeab8e","43049911-d3fe-9315-b963-fb4ecc601d8f","131.6947,3835.1499,86.118393"
"ttro_man_30","40639c4d-347c-8635-cd3a-3ad96e93abb4","40fd3055-48be-a9f5-de48-0b882695cca5","0,0,0"
"SpawnedAnimal_Hare_D1B28BFF_2","9abfea6f-639e-0ee2-2aa7-20ef3bfa421b","b19979de-14fe-4fbb-ac06-893366032cf3","2176,2174.5269,117.93919"
"rvacka_apprentice_1","382be49b-4935-d768-dea9-b44d90d0c8c2","3bb64f7c-d888-454e-a165-7b9e3663d318","2389.812,2031.876,108.5312"
"utokNaNebakov_valley_soloDyingSoldier_2","11ab7010-6eeb-48cb-82e8-306e6b4a30f1","5102253b-ed24-49c3-9fee-5fbed79307cf","0,0,0"
"zaby_sheep2","429295ca-5812-217b-98c3-85a0b79d7e8a","41d04c20-bfcc-9c3d-6ba0-c90caf1a56a1","1892.421,2477.593,98.502159"
"ksed_opat","4171e9dc-3534-05c0-5350-22361e1dd685","4171e9dc-3534-05c0-5350-22361e1dd685","0,0,0"
"tpod_man_1","4ad25885-e89f-3a41-d0ef-8f6c2fa0e299","4e628918-2a38-c1ea-c786-2424123506ae","1235.5071,1555.5,60.549953"
"SpawnedAnimal_Hare_D1B28BFF_1","4f4b3fd4-a543-d693-9172-d43ae63c33c3","b19979de-14fe-4fbb-ac06-893366032cf3","2224,2180.1299,119.05022"
"ttro_man_33","4d6e0863-7bd6-aaa6-18d4-eb10f7b9b4a9","43977623-94e1-cc01-3247-e57c4a7249b9","0,0,0"
"SpawnedAnimal_CattleCow_72EA14AE_2","265ba54f-f009-1189-0ae8-c453ac692904","979a19e2-6bfe-4878-b9d1-84a20bbfd83c","2157.2629,1964.2345,94.799744"
"kkut_albik","53a13a43-abb3-449a-9121-69c6406f7a46","53a13a43-abb3-449a-9121-69c6406f7a46","0,0,0"
"tpod_jan","4da72252-d441-1dcf-94e4-783d7edfb5bd","43814bca-446b-60d8-b209-1939698430ba","1106.7375,1424.9847,10.663947"
"utokNaNebakov_valley_trackviewGroup2_enemy_5_rec","c6462805-046e-4161-aeeb-6a028e8b6968","1137c5a7-33bf-4d25-8d32-cd4071be881a","0,0,0"
"ttac_man_8","23020263-c98a-4540-af5a-00fa95df173b","fd1af8c5-c500-4add-b0b6-6c0505fe80c2","2026.91,2576.595,125.4026"
"tsem_horseForSale_2","afba3370-5c65-4e44-b015-84112376c17e","e39e9f8c-6604-4e34-90fd-4be29da50ad2","1589.156,1532.021,76.365593"
"utokNaNebakov_valley_deadAnimchar_56","1282f4dd-1b40-432d-bd0e-8d4bdce7aa01","2345eb16-9180-4d0f-9a66-678187450de1","0,0,0"
"zbranePanaSemina_bandit_7","1ef2a78a-136a-4e3e-af69-0fa78aa91e60","2f75037b-cd04-4b91-a6a9-3d8f114e40ce","0,0,0"
"SpawnedAnimal_SheepEwe_379E35E6_4","efe2757b-98b3-4a75-3e38-7d9a1601d55f","43049911-d3fe-9315-b963-fb4ecc601d8f","2193.0366,2054.2322,109.37688"
"utokNaNebakov_jesekHorse","68c97616-0351-4c5d-8c1c-a05abaa74756","df2a5a7d-c2f3-443d-b151-0e79e3d265a4","0,0,0"
"Dude","4c2dcffb-dea1-6263-72d7-b39f4db2d8b5","4c2dcffb-dea1-6263-72d7-b39f4db2d8b5","2268.624,1989.8325,101.49242"
"SpawnedAnimal_CattleCow_28062BF_1","de7def48-f8a5-51e4-0da2-e2ab00614444","979a19e2-6bfe-4878-b9d1-84a20bbfd83c","2192.6567,1927.4264,93.991158"
"prepadeni_bailiffsGroupHorse_8","c3d354d2-9d48-45be-bd13-3a06c59cf1a9","07f45abf-fcbc-4085-84f2-ca14b1888ee5","0,0,0"
"kcd2mp_0","af1c21e2-84ae-2d41-a76c-83da0b1de138","00000000-0000-0000-0000-000000000000","921.73999,1999.51,14.251001"
"tsem_man_21","435dd955-85f1-c6e6-49ad-fd20d945efbb","4072c96a-3bb5-f744-078c-8ef89203a49c","1460.8573,1564.1428,65.949837"
"zbranePanaSemina_moravak_2","fd96b3fe-ddce-4e67-9baa-e9c5020a2181","7d8738a2-89ac-430e-9629-ff3e41b8ccc4","1636.6677,1561.3562,81.450905"
"utokNaNebakov_valley_deadAnimchar_7","d7d7b73d-bbcd-4789-ab3d-0465cc752935","9652fa5e-2716-4a09-88f1-301f765f5486","0,0,0"
"tapo_ambroz","e42a57a5-e500-4389-841c-3e1abbb9e5d3","a533e777-e166-4d54-a42c-6bb3a582c4f9","2746.2041,2485.9099,118.7122"
"SpawnedAnimal_Hare_D1B28BFF_0","45da8a14-223d-eac6-51c7-453098bb66ff","b19979de-14fe-4fbb-ac06-893366032cf3","2145.6174,2177.4009,116.0808"
"ttro_man_32","4fb1742b-5a94-a6cd-251b-d839889eda8b","42c61b1c-5cd3-43ad-354d-cef8aa1e2287","0,0,0"
"utokNaNebakov_valley_group2_enemy_2","66210a46-2683-497b-a6d6-aef785f2de47","b841ded9-22c9-4f21-a56a-50f8a50c9c4e","0,0,0"
"ttac_man_9","acaa4e5f-df59-4cda-bd5b-1f4df7a6c46a","69dfede7-a999-43dd-9dfa-5bf0c5aefe01","2001.308,2502.177,115.1419"
"tsem_horseForSale_3","ffe95fa1-28c1-42d0-b878-98b8db2534c0","5c9d68fd-dcb9-4c1d-91d8-6edd0ff6da4c","1595.537,1525.7,76.761864"
"tkop_dog_1","2b45f1d4-c1ee-44ac-8148-276b1cac5469","241dd8af-0a12-4e96-8e86-88afa006a678","2285.1909,2961.623,118.6096"
"zbranePanaSemina_bandit_6","3f9d4142-5eb4-470e-a193-4f71d45bd219","c5b2971d-60a4-46c9-a175-3815d626cfc5","0,0,0"
"utokNaNebakov_valley_deadAnimchar_57","fcae4292-0563-449d-af27-1934f2c59959","4031bb69-8a9b-48e5-9517-1c1d42b7988b","0,0,0"
